,ADDRESS,# ROOMS,BLDG CODE,CODE DESC,BLDG CAT,AC,BLDG DEPTH,EXT COND,FIREPLACES,BLDG FRONT,FUEL,# PARKING,INT COND,MARKET VALUE,# BATH,# BED,# FLOORS,SALE DATE,TOPO,GSF,NSF,HEAT,UNIT #,VIEW,YEAR BUILT,ZIP,ZONING,LATITUDE,LONGITUDE,SALE PRICE,ASKING PRICE,WHITEROCK PRICE,AD / AE DIFF,AD / AF DIFF,AE / AF DIFF
32,1210 ADDISON WALK,0,O50  ,ROW 3 STY MASONRY,Single Family,Y,48.0,3,0,18.0,,0,3.0,692900.0,0,0,3,4/29/2019,F,864.0,1944,A,,I,1968,191471108,RSA5 ,39.94448673,-75.1619107,700000,,,,,
33,500 ADMIRALS WAY,0,5R   ,CONDO PARKING SPACE,Single Family,,0.0,4,0,0.0,,0,4.0,40000.0,0,0,0,7/18/2019,,0.0,200,,000P250,0,2007,191465223,RMX1 ,39.94406581,-75.18487858,375000,,,,,
34,1839 AFTON STREET,0,K30  ,S/D W/B GAR 2 STY MASONRY,Single Family,,90.0,4,0,25.66,,1,4.0,185300.0,0,0,2,8/29/2019,F,2309.4,1224,,,I,1960,191113409,RSA3 ,40.05756702,-75.06330991,230000,,,,,
35,3016 AGATE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,45.0,5,0,14.33,,0,5.0,55100.0,1,3,2,5/3/2019,F,644.85,1076,H,,I,1920,191344321,RSA5 ,39.98710156,-75.11154507,70000,,,,,
36,3024 AGATE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,45.0,4,0,14.33,,0,4.0,87400.0,1,2,2,4/3/2019,F,644.85,1076,H,,I,1920,191344321,RSA5 ,39.98719021,-75.11137549,1435000,,,,,
37,3028 AGATE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,45.0,5,0,14.41,,0,5.0,87500.0,1,2,2,4/4/2019,F,648.45,1076,A,,I,1920,191344321,RSA5 ,39.98723551,-75.11128906,67500,,,,,
38,3032 AGATE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,48.66,4,0,14.0,,0,4.0,55800.0,1,3,2,4/3/2019,F,681.24,700,H,,I,1920,191344321,RSA5 ,39.98728725,-75.11120088,1435000,,,,,
39,3110 AGATE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,40.0,6,0,14.16,,0,6.0,48200.0,1,3,2,4/3/2019,F,566.4,784,,,I,1920,191344420,RSA5 ,39.98832229,-75.10918943,1435000,,,,,
40,3118 AGATE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,40.0,4,0,14.0,,0,4.0,62500.0,1,3,2,5/3/2019,F,560.0,894,,,I,1920,191344420,RSA5 ,39.98841064,-75.10902337,78000,,,,,
41,5933 AGUSTA STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,72.5,4,0,15.5,,0,4.0,106600.0,1,3,2,9/26/2019,F,1123.75,1086,H,,I,1925,191493607,RSA5 ,40.03601931,-75.08662717,120000,,,,,
42,6021 AGUSTA STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,70.0,4,0,16.2,,1,4.0,109000.0,1,3,2,5/13/2019,F,1134.0,1138,H,,I,1925,191493229,RSA5 ,40.03708926,-75.08562262,90000,,,,,
43,3119 AGATE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,49.0,4,0,14.0,,0,4.0,62500.0,1,3,2,4/3/2019,F,686.0,784,H,,I,1920,191344419,RSA5 ,39.98821713,-75.108858,1435000,,,,,
44,3126 AGATE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,41.33,4,0,14.0,,0,4.0,62500.0,1,3,2,8/9/2019,E,578.62,784,H,,I,1920,191344420,RSA5 ,39.98849787,-75.10885767,76000,,,,,
45,3133 AGATE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,49.0,4,0,14.16,,0,4.0,62500.0,1,3,2,4/3/2019,F,693.84,784,H,,I,1920,191344419,RSA5 ,39.98837062,-75.10856573,1435000,,,,,
46,3141 AGATE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,49.0,4,0,14.25,,0,4.0,84300.0,1,3,2,5/1/2019,F,698.25,1048,H,,I,1925,191344419,RSA5 ,39.98845994,-75.10839682,42300,,,,,
47,3146 AGATE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,45.5,4,0,14.0,,0,4.0,69100.0,1,3,2,8/6/2019,E,637.0,868,G,,I,1925,191344420,RSA5 ,39.98873944,-75.1084145,108000,,,,,
48,3164 AGATE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,45.5,4,0,14.0,,0,4.0,69100.0,1,3,2,4/3/2019,F,637.0,868,,,I,1925,191344420,RSA5 ,39.98893624,-75.10804034,1435000,,,,,
49,3178 AGATE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,45.5,4,0,14.0,,0,4.0,69100.0,1,3,2,5/3/2019,F,637.0,894,,,I,1925,191344420,RSA5 ,39.98908972,-75.10775065,73000,,,,,
50,3379 AGATE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,50.0,4,0,14.0,,0,4.0,67600.0,1,2,2,5/3/2019,F,700.0,1064,B,,I,1910,191344503,RSA5 ,39.99139391,-75.10278897,74000,,,,,
51,3392 AGATE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,50.0,4,0,14.0,,0,4.0,67800.0,1,2,2,5/3/2019,F,700.0,1080,B,,I,1910,191344504,RSA5 ,39.99174589,-75.1026801,74000,,,,,
52,3395 AGATE STREET,5,O30  ,ROW 2 STY MASONRY,Single Family,N,50.0,4,0,14.0,,0,4.0,62000.0,1,2,2,10/3/2019,F,700.0,888,B,,I,1910,191344503,RSA5 ,39.991566999999996,-75.1024587,73000,,,,,
53,1813 EAST AIRDRIE STREET,5,O30  ,ROW 2 STY MASONRY,Single Family,N,95.58,4,0,14.0,,0,4.0,63700.0,1,3,2,9/3/2019,F,1338.12,1209,B,,E,1920,191245607,RSA5 ,40.00336926,-75.10002478,46000,,,,,
54,1828 EAST AIRDRIE STREET,5,O30  ,ROW 2 STY MASONRY,Single Family,N,75.41,4,0,14.0,,0,4.0,57100.0,1,3,2,8/23/2019,F,1055.74,1042,B,,E,1920,191245608,RSA5 ,40.00291854,-75.10015065,57500,,,,,
55,1836 EAST AIRDRIE STREET,5,O30  ,ROW 2 STY MASONRY,Single Family,N,76.05,4,0,14.0,,0,4.0,61600.0,1,3,2,8/23/2019,F,1064.7,1148,B,,E,1920,191245608,RSA5 ,40.00279805,-75.10002256,89325,,,,,
56,1315 EAST AIRDRIE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,58.5,4,0,15.0,,0,4.0,64200.0,1,3,2,7/26/2019,F,877.5,1050,H,,I,1920,191245521,RM1  ,40.00370383,-75.10309718,35000,,,,,
57,1322 EAST AIRDRIE STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,60.0,4,0,15.0,,0,4.0,64200.0,1,3,2,7/24/2019,F,900.0,1050,H,,I,1920,191245522,RM1  ,40.00340511,-75.10296479,625000,,,,,
58,1206 WEST AIRDRIE STREET,6,U30  ,ROW CONV/APT 2 STY MASON,Multi Family,N,105.0,3,0,16.0,,0,3.0,82000.0,2,2,2,8/26/2019,F,1680.0,1664,C,,I,1940,191403707,RM1  ,40.00949039,-75.14780353,165000,,,,,
59,5166 AKRON STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,100.0,4,0,19.75,,1,4.0,117800.0,1,3,2,6/12/2019,E,1975.0,1500,A,,I,1950,191241915,RSA5 ,40.02474612,-75.0822391,93000,,,,,
60,1941 SOUTH ALDER STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,47.0,4,0,14.0,,0,4.0,179000.0,1,3,2,6/17/2019,F,658.0,784,H,,I,1940,191482364,RSA5 ,39.92496993,-75.16298411,240000,,,,,
61,6230 ALGARD STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,Y,90.0,4,0,16.12,,1,4.0,114700.0,1,3,2,4/9/2019,F,1450.8,1136,,,A,1945,191353502,RSA5 ,40.02375115,-75.05810335,87000,,,,,
62,6233 ALGARD STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,,90.0,4,0,16.04,,1,4.0,111500.0,1,3,2,8/20/2019,F,1443.6,1136,,,A,1945,191353501,RSA5 ,40.02348119,-75.05779416,110000,,,,,
63,6353 ALGARD STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,Y,90.0,4,0,16.2,,1,4.0,122200.0,1,3,2,7/30/2019,F,1458.0,1120,H,,I,1950,191353105,RSA5 ,40.02475221,-75.05533732,154000,,,,,
64,1821 SOUTH ALDEN STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,53.0,4,0,15.0,,0,4.0,66900.0,1,3,2,6/12/2019,F,795.0,1293,H,,I,1925,191435503,RM1  ,39.93702244,-75.22822087,39000,,,,,
65,6649 ALGARD STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,88.75,4,0,15.75,,1,4.0,120500.0,1,3,2,10/18/2019,F,1397.81,1120,H,,I,1950,191352615,RSA5 ,40.02746142,-75.05009321,110000,,,,,
66,6657 ALGARD STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,88.75,4,0,15.91,,1,4.0,120500.0,1,3,2,10/10/2019,F,1412.01,1120,H,,I,1950,191352615,RSA5 ,40.02755936,-75.04990345,120000,,,,,
67,6661 ALGARD STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,88.75,4,0,15.87,,1,4.0,120500.0,1,3,2,9/3/2019,F,1408.46,1120,H,,I,1950,191352615,RSA5 ,40.02761015,-75.04980821,98000,,,,,
68,6664 ALGARD STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,88.75,4,0,24.42,,0,4.0,133600.0,1,3,2,7/29/2019,F,2167.27,1258,H,,I,1950,191352616,RSA5 ,40.0279799,-75.04998125,142000,,,,,
69,6833 ALGARD STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,80.0,4,0,15.66,,1,4.0,125900.0,2,3,2,8/22/2019,F,1252.8,1190,B,,I,1925,191352105,RSA5 ,40.02913466,-75.04688149,104000,,,,,
70,8900 ALICIA STREET,0,C31  ,DET W/D GAR 2 STY MAS+OTH,Single Family,,140.0,4,0,60.0,,1,4.0,288600.0,0,0,2,7/24/2019,F,8400.0,1720,,,I,1965,191153513,RSD3 ,40.09624802,-75.05811690000002,349999,,,,,
71,7024 ALGARD STREET,0,K30  ,S/D W/B GAR 2 STY MASONRY,Single Family,,90.0,4,0,25.0,,1,4.0,153700.0,0,0,2,8/6/2019,F,2250.0,1280,,,A,1940,191351702,RSA3 ,40.03143224,-75.04324499,180000,,,,,
72,7211 ALGARD STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,90.0,3,0,15.91,,1,3.0,118900.0,1,3,2,7/16/2019,F,1431.9,1056,G,,I,1950,191351103,RSA5 ,40.03301145,-75.03934845,130000,,,,,
73,2024 SOUTH ALDEN STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,53.0,4,0,15.33,,0,4.0,69500.0,1,3,0,4/9/2019,F,812.49,1109,H,,I,1925,191435924,RM1  ,39.9347277,-75.22594338,33000,,,,,
74,3404 ALDINE STREET,7,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,100.91,4,0,16.0,,1,4.0,160900.0,1,4,2,6/21/2019,F,1614.56,1448,,,I,1925,191363804,RSA5 ,40.03946894,-75.04185265,160000,,,,,
75,3440 ALDINE STREET,7,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,100.91,4,0,16.0,,1,4.0,160900.0,1,4,2,6/27/2019,F,1614.56,1448,,,I,1925,191363804,RSA5 ,40.03878931,-75.04132432,185000,,,,,
76,6212 ALGON AVENUE,0,W30  ,APT 2-4 UNITS 2 STY MASON,Multi Family,N,105.33,4,0,20.0,,2,4.0,158400.0,0,0,2,6/4/2019,F,2106.6,1600,H,,H,1951,191115801,RSA5 ,40.04201146,-75.08769161,155000,,,,,
77,6220 ALGON AVENUE,0,W30  ,APT 2-4 UNITS 2 STY MASON,Multi Family,N,109.83,4,0,20.04,,2,4.0,159000.0,0,0,2,8/9/2019,F,2200.99,1600,H,,H,1951,191115801,RSA5 ,40.04217519,-75.08750092,107000,,,,,
78,3517 ALDINE STREET,7,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,101.0,4,0,15.91,,0,4.0,163600.0,1,4,2,6/13/2019,F,1606.91,1504,,,I,1925,191363805,RSA5 ,40.03831935,-75.04027818,206888,,,,,
79,3520 ALDINE STREET,7,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,100.97,4,0,16.0,,0,4.0,167100.0,1,4,2,5/6/2019,F,1615.52,1504,,,I,1955,191363806,RSA5 ,40.03801091,-75.04071659,205000,,,,,
80,6306 ALGON AVENUE,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,85.0,4,0,18.0,,1,4.0,113700.0,1,3,2,8/9/2019,F,1530.0,1260,B,,I,1949,191115803,RSA5 ,40.04292075,-75.08651989,110000,,,,,
81,3539 ALDINE STREET,7,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,101.0,4,0,15.91,,1,4.0,159800.0,1,4,2,4/23/2019,F,1606.91,1504,,,I,1925,191363805,RSA5 ,40.0379102,-75.03995225,173000,,,,,
82,2505 NORTH ALDER STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,,48.0,7,0,14.0,,0,7.0,30200.0,1,3,2,5/2/2019,F,672.0,840,,,I,1920,191331629,RM1  ,39.99036678,-75.14867935,26000,,,,,
83,4221 ALDINE STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,66.0,3,0,18.16,,1,3.0,138000.0,2,3,0,8/29/2019,E,1198.56,1204,G,,I,1950,191363908,RSA5 ,40.03564787,-75.03755832,135000,,,,,
84,546 EAST ALLEGHENY AVENUE,7,O30  ,ROW 2 STY MASONRY,Single Family,N,65.0,7,0,16.0,,0,7.0,8100.0,1,4,2,4/26/2019,F,1040.0,1518,B,,D,1920,191342329,RM1  ,39.99705358,-75.11961075,25000,,,,,
85,4306 ALDINE STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,66.0,4,0,18.0,,1,4.0,118300.0,1,3,2,8/5/2019,F,1188.0,1296,G,,I,1950,191363901,RSA5 ,40.03475546,-75.03726899,95000,,,,,
86,4314 ALDINE STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,66.0,3,0,18.0,,1,3.0,118300.0,1,3,2,4/25/2019,F,1188.0,1272,G,,I,1950,191363901,RSA5 ,40.03459128,-75.03712591,168500,,,,,
87,1124 SOUTH ALDER STREET,4,O30  ,ROW 2 STY MASONRY,Single Family,N,43.66,4,0,12.75,,0,4.0,201800.0,1,2,2,10/11/2019,F,556.66,612,H,,I,1920,191474611,RSA5 ,39.93626401,-75.16076301,122615,,,,,
88,613 ALCOTT STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,68.21,4,0,17.91,,1,4.0,91600.0,1,3,2,7/17/2019,F,1221.64,1152,A,,I,1925,191201219,RSA5 ,40.04168248,-75.09942891,65000,,,,,
89,620 ALCOTT STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,Y,68.0,4,0,18.04,,1,4.0,93600.0,1,3,2,7/22/2019,F,1226.72,1134,A,,I,1925,191201220,RSA5 ,40.04134255,-75.09948081,120000,,,,,
90,245 EAST ALBANUS STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,,65.0,4,0,15.0,,1,4.0,89000.0,1,3,2,4/20/2019,F,975.0,1068,,,I,1940,191203503,RSA5 ,40.02739995,-75.11961059,62000,,,,,
91,1044 ALCOTT STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,,70.0,4,0,15.12,,0,4.0,90000.0,1,3,2,8/30/2019,F,1058.4,1192,B,,I,1950,191493608,RSA5 ,40.0361061,-75.09003115,132000,,,,,
92,1076 ALCOTT STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,,69.99,4,0,15.12,,1,4.0,89200.0,1,3,2,5/17/2019,F,1058.24,1192,B,,I,1950,191493608,RSA5 ,40.03570584,-75.08932308,55000,,,,,
93,1417 ALCOTT STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,N,83.0,3,0,18.29,,1,3.0,116500.0,2,3,2,5/30/2019,F,1518.07,1543,B,,I,1940,191493312,RM1  ,40.03139789,-75.08102309,164500,,,,,
94,1401 ALCOTT STREET,5,U30  ,ROW CONV/APT 2 STY MASON,Multi Family,N,83.0,4,0,18.29,,1,4.0,128600.0,2,2,2,9/25/2019,F,1518.07,1650,B,,I,1940,191493312,RM1  ,40.03163471,-75.08144416,285000,,,,,
95,210 WEST ALBANUS STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,65.0,4,0,14.0,,0,4.0,73500.0,1,3,2,6/21/2019,F,910.0,1120,H,,I,1930,191203827,RSA5 ,40.02605693,-75.12834401,52000,,,,,
96,211 WEST ALBANUS STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,65.0,4,0,14.0,,0,4.0,73500.0,1,3,2,7/2/2019,F,910.0,1120,H,,I,1930,191203826,RSA5 ,40.02634638,-75.12828061,82000,,,,,
97,2712 EAST ALBERT STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,Y,60.0,2,0,15.0,,0,2.0,135400.0,2,3,2,4/19/2019,F,900.0,1060,A,,I,1875,191254002,RSA5 ,39.97683631,-75.11597019,165000,,,,,
98,243 NORTH ALDEN STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,77.0,2,0,14.0,,0,2.0,53400.0,1,3,0,7/26/2019,F,1078.0,1028,B,,I,1920,191391222,RSA5 ,39.96548214,-75.23474449999999,47000,,,,,
99,6418 AKRON STREET,6,R30  ,ROW B/GAR 2 STY MASONRY,Single Family,,67.5,4,0,16.25,,1,4.0,124900.0,1,3,2,9/24/2019,F,1096.87,1138,A,,I,1950,191492923,RSA5 ,40.03651516,-75.07092932,85000,,,,,
100,231 WEST ALBANUS STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,65.0,4,0,14.0,,0,4.0,73500.0,1,3,2,4/8/2019,F,910.0,1120,H,,I,1930,191203826,RSA5 ,40.02641161,-75.12877284,35000,,,,,
101,256 WEST ALBANUS STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,65.0,4,0,14.0,,0,4.0,73500.0,1,3,2,7/15/2019,F,910.0,1120,H,,I,1930,191203827,RSA5 ,40.02620947,-75.12947494,52500,,,,,
102,2047 ALBRIGHT STREET,6,O30  ,ROW 2 STY MASONRY,Single Family,N,68.37,4,0,14.25,,0,4.0,64500.0,1,3,2,4/23/2019,F,974.27,1153,B,,I,1920,191342101,RSA5 ,39.99908787,-75.09917906,26000,,,,,
