,address,city,state,zipcode,bathrooms,bedrooms,interior_features,rooms,cooling,heating,AC,appliances,laundry,sqft,price,taxes,tax_year,list_type,list_id,possession,lot_sqft,list_status,year_built,county,county_school_district,half_bath,subdivision,luxury_home
3,2140 KENSINGTON CT #B78,Philadelphia,PA,19125,3.0,2.0,Dining Area,"Bedroom 1,  Bedroom 2,  Dining Room,  Kitchen,  Laundry,  Living Room,  Master Bedroom",Central A/C,Forced Air,Yes,"Built-In Microwave,  Built-In Range,  Dishwasher,  Disposal,  Refrigerator",Basement,2350.0,334000.0,1800.0,2019.0,Condo/Townhome,PAPH850920,Settlement,4.04 acres,Contract Pending,2019.0,Philadelphia County,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Fishtown,No
4,1147 S 8TH ST,Philadelphia,PA,19147,1.0,3.0,,,Window Unit(s),Hot Water,No,,,1265.0,330000.0,3588.0,2019.0,Condo/Townhome,PAPH851046,Immediate,871.0,Active,1920.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Italian Market Area,No
5,3 N COLUMBUS BLVD #TD441,Philadelphia,PA,19106,2.0,2.0,"Ceiling Fan(s),  Elevator,  Kitchen - Island,  Recessed Lighting","Kitchen,  Laundry,  Living Room,  Storage Room","Ceiling Fan(s),  Central A/C",Central,Yes,,,1300.0,314900.0,3849.0,2019.0,Condo/Townhome,PAPH850134,Negotiable,0.0,Active,1982.0,Philadelphia County,THE SCHOOL DISTRICT OF PHILADELPHIA,,Penns Landing,No
6,12810 GALDI LN,Philadelphia,PA,19154,3.0,3.0,"Butlers Pantry,  Ceiling Fan(s),  Kitchen - Eat-In,  Kitchen - Island,  Master Bath(s),  Skylight(s),  Stall Shower,  WhirlPool/HotTub","Bedroom 1,  Bedroom 2,  Dining Room,  Family Room,  Kitchen,  Living Room,  Master Bedroom",Central A/C,"Central,  Forced Air",Yes,"Built-In Microwave,  Dishwasher,  Disposal,  Energy Efficient Appliances,  Oven - Self Cleaning",Upper Floor,1673.0,304900.0,3262.0,,Single Family,PAPH850790,"120-180 Days,  61-90 Days CD",6098.0,Active,1999.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Liberty Square,No
7,1829 S 15TH ST,Philadelphia,PA,19145,1.0,3.0,,,"Central A/C,  Ductless/Mini-Split",Radiator,Yes,,,1380.0,300000.0,3793.0,2019.0,Condo/Townhome,PAPH850958,Immediate,871.0,Active,1920.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Newbold,No
8,1330 E COLUMBIA AVE,Philadelphia,PA,19125,1.0,4.0,,"Dining Room,  Kitchen,  Laundry,  Living Room","Ceiling Fan(s),  Window Unit(s)",Forced Air,No,,,1553.0,299900.0,3544.0,2019.0,Condo/Townhome,PAPH849776,Negotiable,1307.0,Active,1915.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Fishtown,No
9,1017 SURREY RD,Philadelphia,PA,19115,2.0,3.0,Kitchen - Island,"Bedroom 1,  Bedroom 2,  Family Room,  Kitchen,  Living Room,  Master Bedroom",Central A/C,Forced Air,Yes,,,1872.0,299900.0,2685.0,2019.0,Single Family,PAPH850714,Immediate,3920.0,Active,1959.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Bustleton,No
10,9238 ANNAPOLIS RD,Philadelphia,PA,19114,2.0,4.0,,"Bedroom 1,  Bedroom 2,  Bedroom 3,  Bedroom 4,  Dining Room,  Kitchen,  Living Room,  Sun/Florida Room",Central A/C,Forced Air,Yes,"Built-In Microwave,  Dishwasher,  Disposal,  Dryer - Front Loading,  Refrigerator,  Washer - Front Loading,  Washer/Dryer Stacked",Main Floor,1145.0,299900.0,2552.0,2019.0,Single Family,PAPH850704,Negotiable,4792.0,Active,1949.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Academy Gardens,No
11,2521 FEDERAL ST,Philadelphia,PA,19146,2.0,2.0,,"Basement,  Bathroom 1,  Bedroom 1,  Bedroom 2,  Half Bath,  Kitchen,  Living Room",Central A/C,Forced Air,Yes,,,1200.0,289900.0,770.0,2019.0,Condo/Townhome,PAPH850484,Immediate,436.0,Active,1923.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Southwest Ctr City,No
12,38 N FRONT ST #4B,Philadelphia,PA,19106,1.0,1.0,"Combination Dining/Living,  Combination Kitchen/Dining,  Combination Kitchen/Living,  Elevator,  Entry Level Bedroom,  Exposed Beams,  Flat,  Floor Plan - Open,  Intercom,  Kitchen - Island,  Sprinkler System,  Tub Shower,  Upgraded Countertops,  Wood Floors",,Central A/C,"Forced Air,  Heat Pump - Electric BackUp",Yes,"Dishwasher,  Disposal,  Microwave,  Oven/Range - Gas,  Refrigerator,  Stainless Steel Appliances,  Washer/Dryer Stacked,  Water Heater","Dryer In Unit,  Has Laundry,  Main Floor,  Washer In Unit",745.0,289900.0,1617.0,2019.0,Condo/Townhome,PAPH850798,"Immediate,  Negotiable",0.0,Active,,Philadelphia County,THE SCHOOL DISTRICT OF PHILADELPHIA,,Old City,No
13,1317-21 RODMAN ST #2C,Philadelphia,PA,19147,1.0,1.0,,,Central A/C,Central,Yes,,"Dryer In Unit,  Main Floor,  Washer In Unit",700.0,275000.0,3327.0,2019.0,Condo/Townhome,PAPH850822,Immediate,0.0,Active,1900.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Washington Sq West,No
14,717 GLENVIEW ST,Philadelphia,PA,19111,2.0,4.0,"Attic,  Breakfast Area,  Carpet,  Ceiling Fan(s),  Chair Railings,  Dining Area,  Master Bath(s),  Wainscotting",,Central A/C,Hot Water,Yes,,Basement,1810.0,269900.0,2675.0,2019.0,Single Family,PAPH850894,31-60 Days CD,3485.0,Active,1950.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Oxford Circle,No
15,320 EMILY ST,Philadelphia,PA,19148,1.0,2.0,Kitchen - Eat-In,,Central A/C,Forced Air,Yes,,Basement,840.0,259900.0,3204.0,2019.0,Condo/Townhome,PAPH850834,0-30 Days CD,436.0,Active,1905.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Pennsport,No
16,1806-18 RITTENHOUSE SQ #605,Philadelphia,PA,19103,1.0,1.0,"Flat,  Floor Plan - Traditional,  Kitchen - Galley,  Tub Shower,  Walk-in Closet(s)",,Other,Other,No,"Dishwasher,  Disposal,  Oven/Range - Gas,  Refrigerator",Common,722.0,249900.0,3744.0,2019.0,Condo/Townhome,PAPH850966,Immediate,0.0,Active,1952.0,Philadelphia County,THE SCHOOL DISTRICT OF PHILADELPHIA,,Rittenhouse Square,No
17,7447 THOURON AVE,Philadelphia,PA,19138,2.0,3.0,"Attic,  Floor Plan - Open,  Kitchen - Island,  Recessed Lighting",,Central A/C,Hot Water,Yes,"Built-In Microwave,  Dishwasher,  Dryer,  Stainless Steel Appliances,  Trash Compactor,  Washer",Basement,2100.0,249900.0,1992.0,2019.0,Single Family,PAPH850840,Immediate,3049.0,Active,1941.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Mt Airy (East),No
18,3625 OLIVE ST,Philadelphia,PA,19104,2.0,3.0,"Ceiling Fan(s),  Dining Area,  Floor Plan - Open,  Recessed Lighting,  Upgraded Countertops","Dining Room,  Kitchen,  Living Room,  Mud Room",Central A/C,Central,Yes,"Dishwasher,  Disposal,  Dryer,  Microwave,  Oven/Range - Gas,  Refrigerator,  Six Burner Stove,  Washer,  Water Heater - High-Efficiency",Basement,1000.0,244900.0,739.0,2019.0,Single Family,PAPH848764,Immediate,1742.0,Active,1925.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Phila (West),No
19,11812 MILLBROOK RD,Philadelphia,PA,19154,2.0,3.0,,Family Room,Central A/C,Forced Air,Yes,,,1296.0,230000.0,2660.0,2019.0,Condo/Townhome,PAPH850108,Negotiable,1742.0,Active,1959.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Millbrook,No
20,2904 UNRUH AVE,Philadelphia,PA,19149,2.0,3.0,,,"Wall Unit,  Window Unit(s)",Forced Air,No,,Lower Floor,1308.0,229900.0,2153.0,2019.0,Condo/Townhome,PAPH851030,Immediate,1742.0,Active,1960.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Mayfair (West),No
0,5901 NASSAU RD,Philadelphia,PA,19151,,,,,None,Forced Air,No,,,1824.0,225000.0,1638.0,2019.0,Condo/Townhome,PAPH850832,Settlement,1307.0,Active,1925.0,Philadelphia County,THE SCHOOL DISTRICT OF PHILADELPHIA,,,No
1,6905 SHERMAN ST,Philadelphia,PA,19119,2.0,3.0,,,None,Forced Air,No,,,1310.0,220000.0,3393.0,2019.0,Condo/Townhome,PAPH849676,"0-30 Days CD,  31-60 Days CD",1307.0,Active,1926.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Mt Airy (West),No
2,118 E COLONIAL ST,Philadelphia,PA,19120,3.0,3.0,"Floor Plan - Open,  Wood Floors",,Central A/C,Forced Air,Yes,"Built-In Microwave,  Dishwasher,  Oven/Range - Gas,  Refrigerator,  Stainless Steel Appliances",,1484.0,219900.0,1914.0,2019.0,Condo/Townhome,PAPH850750,"0-30 Days CD,  31-60 Days CD,  Negotiable",1742.0,Active,1959.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Melrose Park Grdns,No
3,2153 BRIGHTON ST,Philadelphia,PA,19149,2.0,3.0,,,Ceiling Fan(s),90% Forced Air,No,,,1208.0,219900.0,1998.0,2019.0,Condo/Townhome,PAPH850984,"31-60 Days CD,  61-90 Days CD",1742.0,Active,1950.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Castor Gardens,No
4,7607 OGONTZ AVE,Philadelphia,PA,19150,3.0,4.0,"Dining Area,  Master Bath(s)","Bedroom 2,  Bedroom 3,  Bedroom 4,  Commercial/Retail Space,  Kitchen,  Living Room,  Master Bedroom",None,Radiator,No,Built-In Range,None,3600.0,215000.0,3534.0,2019.0,Condo/Townhome,PAPH850896,Immediate,1742.0,Active,1950.0,Philadelphia County,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,West Oak Lane,No
5,7109 LYNFORD ST,Philadelphia,PA,19149,2.0,3.0,,,Central A/C,Central,Yes,,,1170.0,209999.0,1818.0,2019.0,Condo/Townhome,PAPH850818,31-60 Days CD,1307.0,Active,1950.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Castor Gardens,No
6,4902 KINGSESSING AVE,Philadelphia,PA,19143,2.0,5.0,,,None,Baseboard - Hot Water,No,,,1991.0,209900.0,942.0,2019.0,Condo/Townhome,PAPH850036,"31-60 Days CD,  61-90 Days CD",1307.0,Active,1940.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,None Available,No
7,6329 HOMER ST,Philadelphia,PA,19144,2.0,3.0,,,Central A/C,Hot Water,Yes,,,1152.0,209900.0,1257.0,2019.0,Condo/Townhome,PAPH850864,Immediate,1742.0,Active,1950.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Germantown (East),No
8,2057 E CLEMENTINE ST,Philadelphia,PA,19134,,0.0,,,None,None,No,,None,3393.0,200000.0,880.0,2019.0,Condo/Townhome,PAPH850814,Settlement,1307.0,Active,1940.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Kensington,No
9,5830 FILBERT ST,Philadelphia,PA,19139,2.0,3.0,"Breakfast Area,  Carpet,  Dining Area,  Floor Plan - Traditional,  Kitchen - Eat-In,  Recessed Lighting,  Tub Shower,  Wood Floors",Basement,Central A/C,"Central,  Energy Star Heating System",Yes,"Built-In Microwave,  Dishwasher,  Energy Efficient Appliances,  ENERGY STAR Dishwasher,  Oven - Self Cleaning,  Oven/Range - Gas,  Stainless Steel Appliances,  Washer/Dryer Hookups Only,  Water Heater","Basement,  Hookup,  Lower Floor",1248.0,200000.0,924.0,2019.0,Condo/Townhome,PAPH848788,"0-30 Days CD,  31-60 Days CD,  Immediate,  Negotiable",1307.0,Active,1925.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,West Philadelphia,No
10,2543 SEPVIVA ST,Philadelphia,PA,19125,1.0,3.0,Ceiling Fan(s),,None,Hot Water,No,,,1042.0,200000.0,2006.0,2019.0,Condo/Townhome,PAPH850994,Negotiable,871.0,Active,,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Fishtown,No
11,1911 MEDARY AVE,Philadelphia,PA,19141,3.0,3.0,"Carpet,  Floor Plan - Open,  Kitchen - Eat-In,  Master Bath(s),  Recessed Lighting,  Tub Shower",,Central A/C,Heat Pump - Electric BackUp,Yes,"Built-In Microwave,  Built-In Range,  Dishwasher,  Disposal","Hookup,  Main Floor",1302.0,199900.0,1337.0,2019.0,Condo/Townhome,PAPH850954,Immediate,1307.0,Active,1905.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,West Oak Lane,No
12,10815 ACADEMY RD,Philadelphia,PA,19154,3.0,3.0,"Attic/House Fan,  Breakfast Area,  Ceiling Fan(s),  Chair Railings,  Stall Shower","Attic,  Basement,  Bedroom 2,  Bedroom 3,  Breakfast Room,  Dining Room,  Full Bath,  Half Bath,  Kitchen,  Laundry,  Living Room,  Master Bathroom,  Master Bedroom",Central A/C,Forced Air,Yes,,Basement,1520.0,199000.0,2727.0,2019.0,Condo/Townhome,PAPH850498,Immediate,1742.0,Active,1971.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Modena Park,No
13,6630 LEBANON AVE,Philadelphia,PA,19151,2.0,3.0,,"Dining Room,  Kitchen,  Living Room","Ceiling Fan(s),  Central A/C",Forced Air,Yes,,,1040.0,194900.0,1268.0,2019.0,Condo/Townhome,PAPH851036,Immediate,1742.0,Active,1925.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Overbrook,No
14,4507 CONSHOHOCKEN AVE,Philadelphia,PA,19131,2.0,5.0,,,None,Hot Water,No,,,1384.0,187000.0,2272.0,2019.0,Condo/Townhome,PAPH850168,Negotiable,1742.0,Active,1920.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Belmont Village,No
15,2003-AKA 1967 N 29TH ST,Philadelphia,PA,19121,,,,,None,Forced Air,No,"Refrigerator,  Stove",,1350.0,184900.0,573.0,2019.0,Condo/Townhome,PAPH850856,"Immediate,  Subject to Existing Lease",871.0,Active,1915.0,Philadelphia County,THE SCHOOL DISTRICT OF PHILADELPHIA,,Strawberry Mansion,No
16,3309 HARTEL AVE,Philadelphia,PA,19136,1.0,3.0,,"Basement,  Bedroom 2,  Bedroom 3,  Dining Room,  Full Bath,  Kitchen,  Living Room,  Master Bedroom",Central A/C,Forced Air,Yes,,,1088.0,179900.0,2221.0,2019.0,Condo/Townhome,PAPH850618,Negotiable,1742.0,Active,1945.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Mayfair,No
17,4229 MARPLE ST,Philadelphia,PA,19136,1.0,3.0,,Dining Room,None,Steam,No,,,1046.0,179000.0,1559.0,2019.0,Condo/Townhome,PAPH850772,Immediate,871.0,Active,1950.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Tacony,No
18,3448 TILDEN ST,Philadelphia,PA,19129,1.0,2.0,,,None,Hot Water,No,,,828.0,169000.0,2189.0,2019.0,Condo/Townhome,PAPH851058,Immediate,871.0,Active,1939.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,East Falls,No
19,12732 MINDEN RD,Philadelphia,PA,19154,2.0,3.0,,,None,Forced Air,No,,Basement,1360.0,159900.0,2744.0,2019.0,Condo/Townhome,PAPH850860,0-30 Days CD,2178.0,Active,1962.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,1.0,Parkwood,No
20,4205 I ST,Philadelphia,PA,19124,1.0,3.0,,,Central A/C,Baseboard - Electric,Yes,,,1296.0,159900.0,1572.0,2019.0,Condo/Townhome,PAPH850612,Immediate,1307.0,Active,1925.0,Philadelphia,THE SCHOOL DISTRICT OF PHILADELPHIA,,Juniata,No
